,name,x,y,start date,stop date
0,P649,605272.8491770504,4213337.019215163,,
1,P2,600435.0498931003,4213464.756668293,,
2,P3,598406.0386677423,4211954.430452953,,
3,P4,593444.0,4211713.0,,
4,P5,589481.0,4212963.0,,
5,P6,584651.0,4213466.0,,
6,P7,579259.0,4211563.0,,
7,P8,574452.0,4209483.0,,
8,P9,572536.2200324722,4211676.162291071,,
9,P10,569450.0,4212768.0,,
10,P11,564624.7381234416,4212911.073625652,,
11,P12,560392.0,4211771.0,,
12,P13,555291.0,4209146.0,,
13,P14,552235.0,4206722.0,,
14,P15,549484.8287151605,4203193.484290911,,
15,P16,548634.8708429317,4196525.409719908,,
16,P17,550415.7388918553,4192842.1388825458,,
17,P18,550882.0,4188960.0,,
18,P20,553394.0,4186017.0,,
19,P21,556498.0,4182524.0,,
20,P22,556516.0,4179936.0,,
21,P23,558453.0,4175881.0,,
22,P24,554173.0,4182786.0,,
23,P25,559528.0,4169416.0,,
24,P26,560587.596067302,4165541.2183141285,,
25,P27,562511.0,4163706.0,,
26,P28,564438.0,4161871.0,,
27,P29,566664.0,4159485.0,,
28,P29.5,569029.0,4158210.0,,
29,P30,571544.0,4156751.0,,
30,P31,574368.0,4153817.0,,
31,P32,576587.0,4152728.0,,
32,P33,577628.0,4151628.0,,
33,P34,580147.0,4150173.0,,
34,P35,581338.1585486834,4148520.786956915,,
35,P36,582684.7240034438,4147600.960583091,,
36,RED,569540.3594436168,4151412.2488788185,,
37,ALA,561795.0,4180713.0,,
38,RIC,548648.0,4198778.0,,
39,BOL,528277.0,4195693.0,,
40,CHI,584340.6971684515,4212589.98544524,,
41,ANH,605073.0,4208469.0,,
42,MAL,594840.0,4211113.0,,
43,BEN,576728.0,4211169.0,,
44,MAR,575527.0,4209246.0,,
45,CAR,568014.0,4212571.0,,
46,MIC,563801.0,4218393.0,,
47,PSP,550215.0,4202055.0,,
48,P241,554173.0,4182786.0,,
49,GGB,546501.0,4185790.0,,
50,PRE,547095.0,4184499.0,,
51,M17,581588.0,4148399.0,,
52,DB,577829.0,4151168.0,,
53,SMB,566243.0,4159974.0,,
54,ALV,588609.0,4144156.0,,
55,DUM,578096.0,4151478.0,,
56,SOU,577829.0,4151168.0,,
57,SAN,566243.0,4159974.0,,
58,SHO,550895.0,4186803.0,,
59,RIC1,548648.0,4198778.0,,
60,CAR2,568035.0,4212910.0,,
61,SUI,576728.0,4211169.0,,
62,C101,573621.0,4154606.0,,
63,C102,569901.0,4159877.0,,
64,C103,561541.0,4162030.0,,
65,C104,567307.0,4170552.0,,
66,C105,564265.0,4174944.0,,
67,C106,555827.0,4172941.0,,
68,C107,563040.0,4162230.0,,
69,C108,559109.0,4170057.0,,
70,C109,556979.0,4177076.0,,
71,C110,556422.0,4182565.0,,
72,C140,576329.0,4152212.0,,
73,C142,561190.0,4179614.0,,
74,C213,550405.0,4187385.0,,
75,C535,596808.0,4211438.0,,
76,C211,554847.0,4187658.0,,
77,C212,556944.0,4189869.0,,
78,C214,552629.0,4190417.0,,
79,C215,550631.0,4193545.0,,
80,C216,549545.0,4197177.0,,
81,C243,552656.0,4193136.0,,
82,C244,546757.0,4197483.0,,
83,C317,551637.0,4204036.0,,
84,C318,557491.0,4208381.0,,
85,C319,562697.0,4210527.0,,
86,C320,559891.0,4213802.0,,
87,C321,555482.0,4213349.0,,
88,C322,551430.0,4211858.0,,
89,C323,550032.0,4208043.0,,
90,C325,555141.0,4209330.0,,
91,C345,550556.0,4205694.0,,
92,C346,561412.0,4212204.0,,
93,C427,574399.0,4210093.0,,
94,C428,578487.0,4213072.0,,
95,C429,580961.0,4215737.0,,
96,C430,582847.0,4218242.0,,
97,C431,585218.0,4217933.0,,
98,C432,578271.0,4210906.0,,
99,C433,589192.0,4212938.0,,
100,C447,572185.0,4212370.0,,
101,C534,592496.0,4214073.0,,
102,SFB1201,543835.0,4184918.0,,
103,SFB1202,547343.0,4187003.0,,
104,SFB1203,546384.0,4185649.0,,
105,SFB1204,549995.0,4185358.0,,
106,SFB1205,552195.0,4185370.0,,
107,SFB1206,553057.0,4184384.0,,
108,SFB1207,555121.0,4183913.0,,
109,SFB1208,555124.0,4183530.0,,
110,SFB1209,554305.0,4184917.0,,
111,SFB1210,553924.0,4187944.0,,
112,SFB1211,551025.0,4187681.0,,
113,SFB1212,549079.0,4191751.0,,
114,SFB1213,560018.0,4183289.0,,
115,SFB1214,562906.0,4183078.0,,
116,SFB1215,565111.0,4182244.0,,
117,SFB1216,568359.0,4179633.0,,
118,SFB1217,555170.0,4182730.0,,
119,SFB1218,559357.0,4188645.0,,
120,SFB1219,546635.0,4190046.0,,
121,SFB1220,542397.0,4183856.0,,
122,SFB1221,533988.0,4182062.0,,
123,SFB1222,526463.0,4178176.0,,
124,SFB1223,526872.0,4166426.0,,
125,SFB1224,517648.0,4171244.0,,
126,SFB1225,517153.0,4184127.0,,
127,SFB1301,578137.0,4150902.0,,
128,SFB1302,574209.0,4154069.0,,
129,SFB1304,570768.0,4153499.0,,
130,SFB1305,566199.0,4160345.0,,
131,SFB1306,562117.0,4164503.0,,
132,SFB1307,564683.5297495014,4167231.837124944,,
133,SFB1308,558328.1726079875,4172555.6678550877,,
134,SFB1309,552571.0,4193869.0,,
135,SFB1310,548690.0,4196562.0,,
136,SFB1311,550577.0,4198223.0,,
137,SFB1312,549264.0,4202511.0,,
138,SFB1313,550337.0,4210797.0,,
139,SFB1314,554662.0,4209419.0,,
140,SFB1315,558424.0,4211302.0,,
141,SFB1316,563452.0,4212930.0,,
142,SFB1317,566161.0,4214655.0,,
143,SFB1318,567764.0,4213016.0,,
144,SFB1319,568580.0,4212914.0,,
145,SFB1320,570792.0,4212657.0,,
146,SFB1322,583074.0,4217687.0,,
147,SFB1323,584699.0,4213474.0,,
148,SFB1324,588341.0,4212675.0,,
149,SFB1325,594541.0,4211702.0,,
150,SFB1326,599249.0,4210024.0,,
151,SFB1327,603342.0,4209126.0,,
152,SFB1328,606196.0,4209263.0,,
153,SFB1329,609439.0,4209541.0,,
154,SFB1330,599028.0,4212903.0,,
155,SFB1331,602309.0,4213591.0,,
156,SFB1332,608412.0,4215096.0,,
157,SFEI_A8Notch,590290.6351992446,4142340.145568452,,
158,SFEI_Guadalupe,586189.6262382161,4143539.972881762,,
159,SFEI_Coyote,586292.7702707534,4146776.8830119832,,
160,SFEI_Mowry,585517.7567381151,4149154.7174360887,,
161,SFEI_Newark,581120.0179305958,4152221.3044211166,,
162,DFW_Dumbarton,578838.4484050475,4150715.503942967,,
163,DFW_SMBWest,564675.0822909314,4158982.9028625884,,
164,DFW_CoyotePoint,560099.6340677177,4160793.758964088,,
165,DFW_SanBruno,554908.9262271298,4167325.2417415166,,
166,DFW_Candlestick,554967.5279890753,4173401.193688042,,
167,DFW_HuntersPoint,555444.3015555672,4174738.9792576227,,
168,DFW_AlamedaSShore,565304.1206416527,4179010.653264096,,
169,DFW_TreasureIsland,555665.8657932406,4185203.8235107227,,
170,DFW_CrissyField,548533.9273379192,4184402.771249407,,
171,DFW_GoldenGateN,546072.7909771204,4186754.420591317,,
172,DFW_BerkeleyFrontage,561393.6468307212,4189242.107088184,,
173,DFW_BerkeleyMarina,560224.1528084676,4190780.070171907,,
174,DFW_Tiburon,546892.6212914785,4194946.940685148,,
175,DFW_Richardson,544859.9975726554,4194220.794608476,,
176,DFW_KellerBeach,553750.6956355142,4197141.948994137,,
177,DFW_SanQuentin,545736.826848276,4199486.721016428,,
178,DFW_PointMolate,550911.9381416836,4200731.584534058,,
179,DFW_ChinaCamp,547563.7530816904,4206048.721083937,,
180,DFW_McNearsBeach,548564.393437259,4205019.550586821,,
181,DFW_PtPinoleW,555093.4168316554,4206863.32155451,,
182,DFW_PtPinoleE,556336.1028055248,4207242.038378002,,
183,IEP_D41A,553433.7619968186,4215408.1252689725,,
184,IEP_D41,555031.8478741589,4209351.666085125,,
185,IEP_NZ325,562119.3050395792,4212485.728527775,,
186,DFW_MareIsland,556229.7480958526,4220374.056840039,,
187,DFW_Crockett,567627.8059856843,4212471.604515451,,
188,IEP_NZ002,568838.317302432,4213315.334933066,,
189,DFW_Benicia,573524.3611237047,4211387.995745954,,
190,IEP_NZ004,573567.1576406265,4210117.566815561,,
191,DFW_PortCosta,572932.5562432435,4209474.160347159,,
192,IEP_D6,577415.6128300694,4211104.082712571,,
193,USGS_ReserveFleet,576916.7084701982,4211543.0090307165,,
194,USGS_ReserveFleet2,579528.3408361053,4214155.906826188,,
195,USGS_GarnetSill,582561.3230523944,4216971.41704619,,
196,IEP_D7,584184.2299138227,4219260.191322796,,
197,IEP_NZS42,583407.8246356343,4226260.70647594,,
198,IEP_NZ032,585741.7005158416,4225118.82858941,,
199,IEP_D8,588591.9045409885,4212946.621575685,,
200,IEP_D10,594903.0012822058,4211510.6342516225,,
201,IEP_D4,603466.1694108315,4213407.161299874,,
202,DFW_ShermanLake,604468.5328454061,4213442.23707179,,
203,DFW_ShermanIsl,606497.7814792399,4213348.12322559,,
204,DFW_AntiochBr,608831.0519099452,4209262.846048043,,
205,DFW_AntiochDunes,608305.6906409276,4208684.884369747,,
206,IEP_D12,604777.8230850077,4208879.725741518,,
207,NOAA_PointReyes,503459.15849374665,4203729.306871994,,
208,NOAA_Redwood,569943.7461194543,4152396.006677071,,
209,NOAA_Richmond,552647.9255482638,4197938.638643557,,
210,NOAA_MareIslan,565786.937254912,4213842.8473502705,,
211,MLD,594840.4667819054,4211112.6420641225,,
212,MRZ,575435.0384134866,4209230.320564315,,
213,EXPL,553063.9607082836,4184104.2911334764,,
214,SMB,566316.4196107002,4159975.033102851,,
215,DMB,577828.8852207684,4151167.767030231,,
216,NEW,581119.6718775264,4152221.828555507,,
217,MOW,585514.0384303404,4149155.9441587077,,
218,GL,586189.8400556339,4143539.502463967,,
219,COY,586296.4060103919,4146777.1820640955,,
220,ALV,588609.4038967121,4144155.718155258,,
221,POND,590292.1060060861,4142340.4846128225,,
222,CIMIS_PSP,546741.4151656062,4205446.968859398,,
223,ANH,605073.063445753,4208469.376794612,,
224,BDL,590132.3506320976,4227052.793103983,,
225,NSL,597456.1964413666,4219938.273688988,,
226,CSE,600858.2525448084,4214649.706898329,,
227,ALCA,550895.2080699395,4186802.5350006837,,
228,BENI,576727.6330133094,4211168.734109676,,
229,CARQ,568035.4459474869,4212910.292149831,,
230,GRIZ,582760.9850746342,4218277.616081428,,
231,MAL,594840.493390742,4211112.6179594975,,
232,PETA,531577.4205347499,4232320.309263996,,
233,RICH,548648.4389391346,4198778.732530955,,
234,Dumbarton_Bridge,577828.89,4151167.77,,
235,Alviso_Slough,588609.4,4144155.72,,
236,San_Mateo_Bridge,566316.41,4159974.98,,
237,Guadalupe_Slough,586189.82,4143539.5,,
238,Newark_Slough,581119.67,4152221.79,,
239,Mowry_Slough,585514.03,4149155.99,,
240,Pond_A8_outlet,590292.11,4142340.51,,
241,Coyote_Creek,586296.44,4146777.13,,
242,Shoal,566777.26,4165120.97,,
243,SanLeandroMarina,568978.33,4169955.61,,
244,Hayward,570501.23,4163038.14,2022-01-01,2024-01-01
245,Guadalupe_Slough_miniDOT,585872.14,4144943.72,,
246,Alviso_Slough_miniDOT,586751.89,4145498.74,,
247,Eden_Landing,572399.24,4159671.46,,
248,CHC13CRC,544509.1485157248,4207133.138594213,2013-12-03,2014-02-25
249,CHC13CRD,544951.3105199802,4206914.534417098,2013-12-02,2014-02-25
250,CHC13MFW,544902.1212919513,4207733.679439432,2013-12-04,2014-02-11
251,CHC13MFE,545413.7315800155,4207288.242908043,2013-12-04,2014-02-11
252,CHC13CHM,554753.3450996773,4212012.465991514,2013-12-04,2014-02-25
253,CHC13CHT,554691.1339104653,4209906.037079778,2013-12-04,2014-02-25
254,CHC13M2M,548565.4663589052,4210501.960483144,2013-12-03,2014-02-24
255,CHC13S1T,546991.3301844205,4207428.097215201,2013-12-03,2014-02-26
256,CHC13N1T,548495.8421875814,4214387.308153076,2013-12-04,2014-02-26
257,CHC13M1T,547138.2086753946,4211027.296214804,2013-12-03,2014-02-25
258,CHC13M2T,548542.915011048,4210605.017255756,2013-12-03,2014-02-25
259,CHC13TCD,545230.7682802314,4207037.574798583,2013-12-04,2014-02-11
260,CHC13TCC,544763.8726560469,4207492.144218291,2013-12-04,2014-02-11
261,CHC14DX1,545344.2776101554,4206990.492762317,2015-01-15,2015-01-28
262,CHC14CRD,545114.4229747277,4206962.590319592,2014-12-10,2015-01-28
263,CHC14DX5,545285.7371999496,4206940.237436176,2015-01-15,2015-01-28
264,CHC14PD5,545287.4991009069,4206939.137637381,2014-12-19,2014-12-29
265,CHC14PD4,545305.8175353566,4206960.321010565,2014-12-19,2014-12-29
