#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 12 31 23 50 156  4.0  5.0  1.00  9.09  5.34 301 1018.6  12.2  11.8 999.0 99.0 99.00
2018 01 01 00 50 178  3.5  4.1  0.97 10.81  5.16 293 1019.2  12.3  11.7 999.0 99.0 99.00
2018 01 01 01 50 142  2.6  3.2  0.93  9.09  5.22 275 1019.5  12.0  11.7 999.0 99.0 99.00
2018 01 01 02 50 126  2.3  2.7  0.97 10.00  5.59 295 1020.0  11.8  11.7 999.0 99.0 99.00
2018 01 01 03 50 149  3.3  4.2  0.88 10.81  5.41 284 1020.3  11.9  11.7 999.0 99.0 99.00
2018 01 01 04 50 178  4.4  4.9  0.82  7.69  5.33 299 1020.8  12.4  11.6 999.0 99.0 99.00
2018 01 01 05 50 160  3.7  4.2  0.80 10.81  5.35 301 1021.2  12.4  11.6 999.0 99.0 99.00
2018 01 01 06 50 155  2.5  2.8  0.78 10.00  5.53 303 1021.9  12.3  11.6 999.0 99.0 99.00
2018 01 01 07 50 159  2.6  3.1  0.77 10.00  5.77 308 1022.4  11.9  11.6 999.0 99.0 99.00
2018 01 01 08 50 132  2.3  2.8  0.71 10.00  5.72 301 1022.3  11.9  11.6 999.0 99.0 99.00
2018 01 01 09 50 123  2.3  2.6  0.74  9.09  6.01 303 1022.3  12.0  11.6 999.0 99.0 99.00
2018 01 01 10 50 134  2.3  2.6  0.68 10.00  5.99 276 1022.5  11.9  11.6 999.0 99.0 99.00
2018 01 01 11 50  88  3.1  3.7  0.69 12.90  6.01 217 1022.6  11.5  11.6 999.0 99.0 99.00
2018 01 01 12 50  62  2.3  2.8  0.67  9.09  6.32 289 1022.4  11.5  11.6 999.0 99.0 99.00
2018 01 01 13 50  87  2.5  3.0  0.72 16.00  7.00 287 1022.5  11.2  11.6 999.0 99.0 99.00
2018 01 01 14 50  88  1.9  2.3  0.69 16.00  6.88 250 1023.0  11.1  11.5 999.0 99.0 99.00
2018 01 01 15 50  74  3.7  4.4  0.65 16.00  6.84 320 1023.0  11.0  11.5 999.0 99.0 99.00
2018 01 01 16 50  79  3.7  4.5  0.68 16.00  6.95 300 1023.4  11.1  11.5 999.0 99.0 99.00
2018 01 01 17 50  83  4.1  4.8  0.67 16.00  6.71 269 1023.9  11.0  11.6 999.0 99.0 99.00
2018 01 01 18 50  86  4.3  5.1  0.70 16.00  6.06 334 1023.9  11.1  11.6 999.0 99.0 99.00
2018 01 01 19 50  73  3.2  3.9  0.69 16.00  6.46 286 1023.1  11.1  11.6 999.0 99.0 99.00
